Version,CommitId,Fichier,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSerDe.java,11.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,3.0,9.0,9.0,1.0,9.0,0.0,0.0,0.0,9.0,127.0,15.0,30.0,22.0,4.0,83.0,17.0,21.0,18.0,3.0,2.0,0.0,2.77,4.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSerializer.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,65.0,8.0,12.0,11.0,0.0,45.0,9.0,10.0,10.0,0.0,0.0,0.0,3.75,0.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractService.java,9.0,0.0,5.0,4.0,1.0,1.0,0.0,1.0,12.0,12.0,12.0,5.0,12.0,0.0,2.0,0.0,10.0,184.0,22.0,76.0,35.0,29.0,86.0,34.0,50.0,26.0,26.0,2.0,1.0,1.13,14.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractStorageFormatDescriptor.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,4.0,7.0,4.0,1.0,17.0,2.0,4.0,3.0,1.0,1.0,0.0,2.43,1.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestAuthorizationApiAuthorizer.java,9.0,0.0,8.0,1.0,1.0,11.0,1.0,3.0,20.0,21.0,20.0,0.0,21.0,0.0,1.0,1.0,19.0,211.0,23.0,153.0,63.0,76.0,36.0,69.0,95.0,54.0,52.0,4.0,2.0,0.24,24.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestGenericUDFOPNumeric.java,12.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,56.0,6.0,30.0,22.0,11.0,20.0,19.0,22.0,19.0,8.0,1.0,0.0,0.67,2.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestParquetDirect.java,7.0,0.0,6.0,0.0,1.0,3.0,7.0,2.0,13.0,14.0,7.0,5.0,14.0,0.0,1.0,0.0,13.0,173.0,27.0,128.0,75.0,50.0,19.0,76.0,95.0,65.0,42.0,3.0,2.0,0.15,16.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestPhase.java,10.0,0.0,9.0,0.0,1.0,1.0,3.0,12.0,6.0,6.0,3.0,17.0,6.0,2.0,1.0,2.0,1.0,139.0,12.0,108.0,60.0,55.0,19.0,81.0,89.0,59.0,33.0,2.0,1.0,0.18,7.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractVectorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,3.0,7.0,4.0,1.0,17.0,2.0,4.0,3.0,1.0,1.0,0.0,2.43,1.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AccumuloCompositeRowId.java,13.0,3.0,7.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,95.0,15.0,32.0,20.0,12.0,48.0,23.0,28.0,20.0,13.0,2.0,1.0,1.5,4.0,,0
